el hombre,мъж
la mujer,жена
el pan,хляб
la manzana,ябълка
bueno,добро
malo,лошо
el agua,вода
la leche,мляко
comer,ям
beber,пия
el perro,куче
el gato,котка
el día,ден
la palabra,дума
la ciudad,град
el parque,парк
el idioma,език (лингвистичен)
la lengua,език (лингвистичен или анатомичен)
la pregunta,въпрос
preguntar,питам
responder,отговарям
el niño / la niña,момче / момиче
muy / mucho,много
aquí,тук
para,за / заради / за да
por,за / защото / чрез
esto,това
eso,онова
todo,всичко
a,на / към
de,на / от
y,и
también,също
grande,голям
pequeño,малък
ayer,вчера
hoy,днес
mañana,утре
pero,но
fantástico,фантастично
absolutamente,абсолютно
delicioso,вкусен
hermoso / lindo / guapo, 
siempre, 
perfecto, 
el restaurante, 
terrible / horrible, 
el aeropuerto, 
el tren, 
el baño, 
el lavabo / el aseo, 
el supermercado, 
el hotel, 
el hospital, 
el museo, 
con, 
sin, 
el libro, 
la mano, 
hablar, 
cantar, 
buscar, 
caminar / andar, 
nadar, 
trabajar, 
gustar, 
estudiar, 
escuchar, 
comprar, 
el coche / el carro / el auto, 
la casa, 
verdadero, 
falso, 
la verdad, 
la mentira, 
mentir, 
luego, 
ahora, 
frío, 
caliente / cálido, 
el calor, 
ir, 
estar, 
ser, 
durante, 
extraordinario, 
feo, 
el pollo, 
simpático, 
el autobús, 
el dinero, 
cerrado, 
abierto, 
abrir, 
el calle, 
el billete / el boleto, 
el banco, 
el teléfono / el móvil / el celular, 
el pasaporte, 
tener, 
el mes, 
el año, 
la mesa, 
la persona, 
la carne, 
el queso, 
el sándwich, 
la hamburguesa, 
el pescado, 
la taza, 
el vaso, 
el/la azúcar, 
la naranja, 
la cocina, 
cansado, 
el fin, 
la semana, 
el fin de semana, 
la tienda, 
el edificio, 
entender / comprender, 
empezar, 
mirar, 
ver, 
la escuela / el colegio, 
la librería, 
el cine, 
la panadería, 
la universidad, 
el centro comercial, 
el papel, 
el marcador, 
excepto, 
el/la estudiante, 
el/la alumno, 
la profesión, 
viajar, 
el viaje, 
la agencia, 
presentar, 
el país, 
la letra, 
decir, 
escribir, 
hacer, 
saber, 
poder, 
pensar, 
encima de, 
debajo de, 
la playa, 
lento, 
despacio, 
rápido, 
la silla, 
la comida / el alimento, 
la cuenta, 
mismo, 
leer, 
el diccionario / el léxico, 
la vez, 
el tiempo, 
cada, 
mejor / el mejor, 
ayudar, 
la cosa, 
el profesor / el maestro, 
el escritorio, 
el autor / el escritor, 
a través de, 
fuera / afuera, 
dentro / adentro, 
la señal, 
señalar, 
recordar, 
sentir / sentirse, 
levantar, 
levantarse, 
despertar / despertarse, 
salir, 
vivir, 
seguro, 
la belleza / la hermosura, 
desde, 
el lugar / el sitio, 
poco, 
la familia, 
viejo, 
joven, 
juntos, 
nuevo, 
el mundo, 
el nombre, 
el puerto, 
la izquierda, 
el derecho, 
fácil, 
difícil, 
el problema, 
el examen, 
la ensalada, 
el tomate, 
querer, 
fuerte, 
débil, 
importante, 
la madre, 
el padre, 
el abuelo / la abuela, 
el hermano / la hermana, 
el esposo / la esposa, 
el hijo / la hija, 
el primo / la prima, 
el tío / la tía, 
el sobrino / la sobrina, 
necesitar, 
la maleta, 
la reserva, 
el jugo / el zumo, 
moreno, 
rubio, 
flaco / delgado, 
gordo, 
alto, 
bajo, 
gracioso / cómico, 
serio, 
ambicioso, 
perezoso, 
tímido, 
honesto, 
generoso, 
el ejercicio, 
significar, 
la unidad, 
el correo, 
la oficina, 
el lápiz, 
la pluma / el bolígrafo, 
el cuaderno, 
la goma / la llanta, 
la goma de borrar, 
borrar, 
la calculadora, 
la empresa / la compañía, 
el empresario, 
el cocinero, 
la arquitectura, 
llevar, 
completar, 
el/la periodista, 
la nacionalidad, 
anterior, 
siguiente, 
el camarero, 
dar, 
sentarse, 
llamarse, 
llamar, 
gritar, 
la ventana, 
la amistad, 
aprender, 
poner, 
volver, 
el lado, 
la página, 
conocer, 
